,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
511,auray,47.67,-2.99,10.06,71,0,6.2
512,iracoubo,5.48,-53.2,26.59,70,47,3.15
513,morada nova,-5.11,-38.37,25.79,79,94,2.42
514,wake forest,35.98,-78.51,22.49,56,40,1.5
515,mandalgovi,45.76,106.27,-1.48,49,0,6.31
516,verkhnevilyuysk,63.45,120.32,0.38,92,100,3.08
517,marsa matruh,31.35,27.25,14,71,0,3.1
518,den helder,52.96,4.76,4.48,80,90,2.1
519,muzhi,65.37,64.67,0.31,96,100,3.24
520,dolores,-36.31,-57.68,14.57,59,1,5.24
521,totness,5.88,-56.32,27.15,68,22,4.11
522,preobrazheniye,42.9,133.91,3.01,73,29,3.86
523,terrace bay,48.78,-87.1,-3,58,75,1.5
524,hambantota,6.12,81.12,27.07,82,74,2.7
525,conde,-7.26,-34.91,28,74,100,3.6
526,dunhua,43.37,128.24,4.37,55,83,0.69
527,ghanzi,-21.57,21.78,23.29,29,93,5.09
528,young,-32.68,-57.63,16.67,53,0,1.34
529,killybegs,54.63,-8.45,4.44,92,51,0.45
530,mungeli,22.07,81.68,29.36,21,18,2.15
531,dwarka,22.24,68.97,26.71,77,34,6.34
532,linhares,-19.39,-40.07,22.7,83,41,1.69
533,dawei,14.08,98.2,25.64,77,64,1.78
534,geraldton,-28.77,114.6,16.52,77,40,3.1
535,cuenca,-2.88,-78.98,17,77,90,2.6
536,abu kamal,34.45,40.92,19.85,23,0,2.85
537,dolzhanskaya,46.63,37.8,10,100,100,4.92
538,sainte-agathe-des-monts,46.05,-74.28,6.75,30,75,5.1
539,mnogovershinnyy,53.94,139.92,-6.3,95,88,2.03
540,rocha,-34.48,-54.33,14.14,90,100,10.76
541,simbahan,6.3,120.58,27.28,70,21,1.14
542,arawa,-6.21,155.54,27.58,75,100,1.22
543,yablonovo,50.85,37.36,1,68,75,7
544,aranos,-24.13,19.12,18.24,16,0,4.54
545,daru,-9.08,143.21,26.91,82,86,5.01
546,ascension,30.22,-90.9,22.54,56,40,4.6
547,hovd,48.01,91.64,6.36,48,99,0.98
548,slave lake,55.28,-114.77,2,93,40,4.6
549,kudligi,14.9,76.38,26.28,28,0,4.27
